,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
41,2023-06-11,02:07 AM,04:24,12:42 PM,05:04 PM,09:00 PM,11:04 PM,03:42 AM,03:47 AM,12:42 PM,12:47 PM,05:04 PM,05:09 PM,09:00 PM,09:05 PM,11:04 PM,11:09 PM,10:07 PM,02:07 AM,01:12 PM,02:12 PM
42,2023-06-12,02:07 AM,04:23,12:42 PM,05:05 PM,09:00 PM,11:04 PM,03:42 AM,03:47 AM,12:42 PM,12:47 PM,05:05 PM,05:10 PM,09:00 PM,09:05 PM,11:04 PM,11:09 PM,10:07 PM,02:07 AM,01:12 PM,02:12 PM
43,2023-06-13,02:07 AM,04:23,12:42 PM,05:05 PM,09:01 PM,11:04 PM,03:42 AM,03:47 AM,12:42 PM,12:47 PM,05:05 PM,05:10 PM,09:01 PM,09:06 PM,11:04 PM,11:09 PM,10:07 PM,02:07 AM,01:12 PM,02:12 PM
44,2023-06-14,02:07 AM,04:23,12:43 PM,05:06 PM,09:02 PM,11:05 PM,03:42 AM,03:47 AM,12:43 PM,12:48 PM,05:06 PM,05:11 PM,09:02 PM,09:07 PM,11:05 PM,11:10 PM,10:07 PM,02:07 AM,01:13 PM,02:13 PM
45,2023-06-15,02:07 AM,04:23,12:43 PM,05:06 PM,09:02 PM,11:05 PM,03:42 AM,03:47 AM,12:43 PM,12:48 PM,05:06 PM,05:11 PM,09:02 PM,09:07 PM,11:05 PM,11:10 PM,10:07 PM,02:07 AM,01:13 PM,02:13 PM
46,2023-06-16,02:07 AM,04:23,12:43 PM,05:06 PM,09:03 PM,11:05 PM,03:42 AM,03:47 AM,11:43 AM,01:43 PM,05:06 PM,05:11 PM,09:03 PM,09:08 PM,11:05 PM,11:10 PM,10:07 PM,02:07 AM,01:13 PM,02:13 PM
47,2023-06-17,02:07 AM,04:23,12:43 PM,05:06 PM,09:03 PM,11:06 PM,03:42 AM,03:47 AM,12:43 PM,12:48 PM,05:06 PM,05:11 PM,09:03 PM,09:08 PM,11:06 PM,11:11 PM,10:07 PM,02:07 AM,01:13 PM,02:13 PM
48,2023-06-18,02:08 AM,04:22,12:44 PM,05:07 PM,09:04 PM,11:06 PM,03:42 AM,03:47 AM,12:44 PM,12:49 PM,05:07 PM,05:12 PM,09:04 PM,09:09 PM,11:06 PM,11:11 PM,10:08 PM,02:08 AM,01:14 PM,02:14 PM
49,2023-06-19,02:08 AM,04:22,12:44 PM,05:07 PM,09:04 PM,11:06 PM,03:42 AM,03:47 AM,12:44 PM,12:49 PM,05:07 PM,05:12 PM,09:04 PM,09:09 PM,11:06 PM,11:11 PM,10:08 PM,02:08 AM,01:14 PM,02:14 PM
50,2023-06-20,02:08 AM,04:23,12:44 PM,05:07 PM,09:05 PM,11:07 PM,03:42 AM,03:47 AM,12:44 PM,12:49 PM,05:07 PM,05:12 PM,09:05 PM,09:10 PM,11:07 PM,11:12 PM,10:08 PM,02:08 AM,01:14 PM,02:14 PM
51,2023-06-21,02:08 AM,04:23,12:44 PM,05:08 PM,09:05 PM,11:07 PM,03:42 AM,03:47 AM,12:44 PM,12:49 PM,05:08 PM,05:13 PM,09:05 PM,09:10 PM,11:07 PM,11:12 PM,10:08 PM,02:08 AM,01:14 PM,02:14 PM
52,2023-06-22,02:08 AM,04:23,12:44 PM,05:08 PM,09:05 PM,11:07 PM,03:42 AM,03:47 AM,12:44 PM,12:49 PM,05:08 PM,05:13 PM,09:05 PM,09:10 PM,11:07 PM,11:12 PM,10:08 PM,02:08 AM,01:14 PM,02:14 PM
53,2023-06-23,02:08 AM,04:23,12:45 PM,05:08 PM,09:05 PM,11:07 PM,03:42 AM,03:47 AM,11:45 AM,01:45 PM,05:08 PM,05:13 PM,09:05 PM,09:10 PM,11:07 PM,11:12 PM,10:08 PM,02:08 AM,01:15 PM,02:15 PM
